experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,1000000,8,40,150,1,118.793534
strong_omp,1,1000000,8,40,150,2,120.510764
strong_omp,1,1000000,8,40,150,3,118.515978
strong_omp,1,1000000,8,40,150,4,118.489389
strong_omp,1,1000000,8,40,150,5,118.087916
strong_omp,2,1000000,8,40,150,1,61.245383
strong_omp,2,1000000,8,40,150,2,61.427504
strong_omp,2,1000000,8,40,150,3,61.104872
strong_omp,2,1000000,8,40,150,4,61.162245
strong_omp,2,1000000,8,40,150,5,61.225757
strong_omp,4,1000000,8,40,150,1,32.748307
strong_omp,4,1000000,8,40,150,2,32.449117
strong_omp,4,1000000,8,40,150,3,32.565874
strong_omp,4,1000000,8,40,150,4,32.766524
strong_omp,4,1000000,8,40,150,5,33.025376
strong_omp,6,1000000,8,40,150,1,23.296133
strong_omp,6,1000000,8,40,150,2,23.315939
strong_omp,6,1000000,8,40,150,3,23.178552
strong_omp,6,1000000,8,40,150,4,23.269486
strong_omp,6,1000000,8,40,150,5,23.290450
strong_omp,8,1000000,8,40,150,1,18.536152
strong_omp,8,1000000,8,40,150,2,18.476179
strong_omp,8,1000000,8,40,150,3,18.479474
strong_omp,8,1000000,8,40,150,4,18.507952
strong_omp,8,1000000,8,40,150,5,18.514366
strong_omp,10,1000000,8,40,150,1,15.210500
strong_omp,10,1000000,8,40,150,2,15.308600
strong_omp,10,1000000,8,40,150,3,15.234509
strong_omp,10,1000000,8,40,150,4,15.285297
strong_omp,10,1000000,8,40,150,5,15.269000
strong_omp,12,1000000,8,40,150,1,12.964264
strong_omp,12,1000000,8,40,150,2,12.940443
strong_omp,12,1000000,8,40,150,3,13.019092
strong_omp,12,1000000,8,40,150,4,12.958838
strong_omp,12,1000000,8,40,150,5,13.014243
strong_omp,14,1000000,8,40,150,1,11.317862
strong_omp,14,1000000,8,40,150,2,11.334003
strong_omp,14,1000000,8,40,150,3,11.352593
strong_omp,14,1000000,8,40,150,4,11.367989
strong_omp,14,1000000,8,40,150,5,11.318202
strong_omp,16,1000000,8,40,150,1,10.828962
strong_omp,16,1000000,8,40,150,2,10.808840
strong_omp,16,1000000,8,40,150,3,10.997747
strong_omp,16,1000000,8,40,150,4,10.998833
strong_omp,16,1000000,8,40,150,5,11.085913
