experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,100000,8,40,150,1,11.959576
weak_omp,1,100000,8,40,150,2,12.026445
weak_omp,1,100000,8,40,150,3,12.016734
weak_omp,1,100000,8,40,150,4,12.056457
weak_omp,1,100000,8,40,150,5,12.124864
weak_omp,2,200000,8,40,150,1,12.411879
weak_omp,2,200000,8,40,150,2,12.502983
weak_omp,2,200000,8,40,150,3,12.506833
weak_omp,2,200000,8,40,150,4,12.564682
weak_omp,2,200000,8,40,150,5,12.381963
weak_omp,4,400000,8,40,150,1,13.116627
weak_omp,4,400000,8,40,150,2,13.068390
weak_omp,4,400000,8,40,150,3,13.171518
weak_omp,4,400000,8,40,150,4,13.053018
weak_omp,4,400000,8,40,150,5,13.030652
weak_omp,6,600000,8,40,150,1,14.253712
weak_omp,6,600000,8,40,150,2,14.150785
weak_omp,6,600000,8,40,150,3,14.490273
weak_omp,6,600000,8,40,150,4,14.334335
weak_omp,6,600000,8,40,150,5,14.265688
weak_omp,8,800000,8,40,150,1,14.878099
weak_omp,8,800000,8,40,150,2,14.852964
weak_omp,8,800000,8,40,150,3,15.419572
weak_omp,8,800000,8,40,150,4,14.888916
weak_omp,8,800000,8,40,150,5,15.476521
weak_omp,10,1000000,8,40,150,1,15.437402
weak_omp,10,1000000,8,40,150,2,15.419469
weak_omp,10,1000000,8,40,150,3,15.400466
weak_omp,10,1000000,8,40,150,4,15.375077
weak_omp,10,1000000,8,40,150,5,15.386109
weak_omp,12,1200000,8,40,150,1,15.702383
weak_omp,12,1200000,8,40,150,2,15.728136
weak_omp,12,1200000,8,40,150,3,15.921851
weak_omp,12,1200000,8,40,150,4,15.693388
weak_omp,12,1200000,8,40,150,5,15.683006
weak_omp,14,1400000,8,40,150,1,16.169754
weak_omp,14,1400000,8,40,150,2,16.284062
weak_omp,14,1400000,8,40,150,3,16.269211
weak_omp,14,1400000,8,40,150,4,16.192216
weak_omp,14,1400000,8,40,150,5,16.230117
weak_omp,16,1600000,8,40,150,1,17.783761
weak_omp,16,1600000,8,40,150,2,18.278129
weak_omp,16,1600000,8,40,150,3,18.112056
weak_omp,16,1600000,8,40,150,4,19.441437
weak_omp,16,1600000,8,40,150,5,20.766406
