experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,100000,8,16,150,1,5.305
weak_omp,1,100000,8,16,150,2,5.349
weak_omp,1,100000,8,16,150,3,5.333
weak_omp,1,100000,8,16,150,4,5.327
weak_omp,1,100000,8,16,150,5,5.324
weak_omp,2,200000,8,16,150,1,5.613
weak_omp,2,200000,8,16,150,2,5.418
weak_omp,2,200000,8,16,150,3,5.553
weak_omp,2,200000,8,16,150,4,5.441
weak_omp,2,200000,8,16,150,5,5.471
weak_omp,4,400000,8,16,150,1,6.196
weak_omp,4,400000,8,16,150,2,6.322
weak_omp,4,400000,8,16,150,3,6.082
weak_omp,4,400000,8,16,150,4,5.955
weak_omp,4,400000,8,16,150,5,6.302
weak_omp,6,600000,8,16,150,1,6.530
weak_omp,6,600000,8,16,150,2,6.566
weak_omp,6,600000,8,16,150,3,6.582
weak_omp,6,600000,8,16,150,4,6.687
weak_omp,6,600000,8,16,150,5,6.731
weak_omp,8,800000,8,16,150,1,7.249
weak_omp,8,800000,8,16,150,2,7.181
weak_omp,8,800000,8,16,150,3,7.165
weak_omp,8,800000,8,16,150,4,7.189
weak_omp,8,800000,8,16,150,5,7.250
weak_omp,10,1000000,8,16,150,1,7.597
weak_omp,10,1000000,8,16,150,2,7.614
weak_omp,10,1000000,8,16,150,3,7.587
weak_omp,10,1000000,8,16,150,4,7.573
weak_omp,10,1000000,8,16,150,5,7.600
weak_omp,12,1200000,8,16,150,1,7.736
weak_omp,12,1200000,8,16,150,2,7.746
weak_omp,12,1200000,8,16,150,3,7.696
weak_omp,12,1200000,8,16,150,4,7.745
weak_omp,12,1200000,8,16,150,5,7.824
weak_omp,14,1400000,8,16,150,1,8.243
weak_omp,14,1400000,8,16,150,2,8.144
weak_omp,14,1400000,8,16,150,3,7.986
weak_omp,14,1400000,8,16,150,4,8.120
weak_omp,14,1400000,8,16,150,5,8.182
weak_omp,16,1600000,8,16,150,1,10.015
weak_omp,16,1600000,8,16,150,2,9.214
weak_omp,16,1600000,8,16,150,3,8.919
weak_omp,16,1600000,8,16,150,4,9.125
weak_omp,16,1600000,8,16,150,5,8.781
