experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,500000,8,16,150,1,24.184361
strong_omp,1,500000,8,16,150,2,24.191755
strong_omp,1,500000,8,16,150,3,24.256313
strong_omp,1,500000,8,16,150,4,24.475517
strong_omp,1,500000,8,16,150,5,24.553793
strong_omp,2,500000,8,16,150,1,12.799813
strong_omp,2,500000,8,16,150,2,13.059263
strong_omp,2,500000,8,16,150,3,12.891661
strong_omp,2,500000,8,16,150,4,12.878070
strong_omp,2,500000,8,16,150,5,12.832650
strong_omp,4,500000,8,16,150,1,7.568094
strong_omp,4,500000,8,16,150,2,7.260243
strong_omp,4,500000,8,16,150,3,7.261874
strong_omp,4,500000,8,16,150,4,7.116852
strong_omp,4,500000,8,16,150,5,7.265929
strong_omp,6,500000,8,16,150,1,5.293518
strong_omp,6,500000,8,16,150,2,5.172457
strong_omp,6,500000,8,16,150,3,5.245732
strong_omp,6,500000,8,16,150,4,5.301288
strong_omp,6,500000,8,16,150,5,5.221023
strong_omp,8,500000,8,16,150,1,4.368785
strong_omp,8,500000,8,16,150,2,4.362209
strong_omp,8,500000,8,16,150,3,4.347707
strong_omp,8,500000,8,16,150,4,4.353998
strong_omp,8,500000,8,16,150,5,4.336345
strong_omp,10,500000,8,16,150,1,3.592238
strong_omp,10,500000,8,16,150,2,3.595382
strong_omp,10,500000,8,16,150,3,3.604909
strong_omp,10,500000,8,16,150,4,3.602150
strong_omp,10,500000,8,16,150,5,3.623924
strong_omp,12,500000,8,16,150,1,3.054693
strong_omp,12,500000,8,16,150,2,3.491224
strong_omp,12,500000,8,16,150,3,3.055998
strong_omp,12,500000,8,16,150,4,3.053924
strong_omp,12,500000,8,16,150,5,3.061421
strong_omp,14,500000,8,16,150,1,2.652292
strong_omp,14,500000,8,16,150,2,3.331383
strong_omp,14,500000,8,16,150,3,2.671663
strong_omp,14,500000,8,16,150,4,2.644863
strong_omp,14,500000,8,16,150,5,2.635892
strong_omp,16,500000,8,16,150,1,2.698622
strong_omp,16,500000,8,16,150,2,2.692324
strong_omp,16,500000,8,16,150,3,2.576697
strong_omp,16,500000,8,16,150,4,2.641723
strong_omp,16,500000,8,16,150,5,2.621506
