experiment,N,K,D,iters,run,elapsed
cuda_v3,500000,8,40,150,1,0.197005
cuda_v3,500000,8,40,150,2,0.197524
cuda_v3,500000,8,40,150,3,0.199098
cuda_v3,500000,8,40,150,4,0.201466
cuda_v3,500000,8,40,150,5,0.196736
cuda_v3,1000000,8,40,150,1,0.379070
cuda_v3,1000000,8,40,150,2,0.387392
cuda_v3,1000000,8,40,150,3,0.382465
cuda_v3,1000000,8,40,150,4,0.390959
cuda_v3,1000000,8,40,150,5,0.379432
cuda_v3,2000000,8,40,150,1,0.710157
cuda_v3,2000000,8,40,150,2,0.714463
cuda_v3,2000000,8,40,150,3,0.705088
cuda_v3,2000000,8,40,150,4,0.710316
cuda_v3,2000000,8,40,150,5,0.712105
cuda_v3,4000000,8,40,150,1,1.440923
cuda_v3,4000000,8,40,150,2,1.438394
cuda_v3,4000000,8,40,150,3,1.440975
cuda_v3,4000000,8,40,150,4,1.434265
cuda_v3,4000000,8,40,150,5,1.436038
cuda_v3,8000000,8,40,150,1,2.659497
cuda_v3,8000000,8,40,150,2,2.654869
cuda_v3,8000000,8,40,150,3,2.647751
cuda_v3,8000000,8,40,150,4,2.653284
cuda_v3,8000000,8,40,150,5,2.650928
