experiment,threads,N,K,D,iters,run,elapsed
strong_O3_v4_bind,1,500000,8,40,150,1,3.410914
strong_O3_v4_bind,1,500000,8,40,150,2,3.454882
strong_O3_v4_bind,1,500000,8,40,150,3,3.500093
strong_O3_v4_bind,1,500000,8,40,150,4,3.371113
strong_O3_v4_bind,1,500000,8,40,150,5,3.426290
strong_O3_v4_bind,2,500000,8,40,150,1,1.940401
strong_O3_v4_bind,2,500000,8,40,150,2,1.763992
strong_O3_v4_bind,2,500000,8,40,150,3,1.894238
strong_O3_v4_bind,2,500000,8,40,150,4,1.934992
strong_O3_v4_bind,2,500000,8,40,150,5,1.900464
strong_O3_v4_bind,4,500000,8,40,150,1,1.042133
strong_O3_v4_bind,4,500000,8,40,150,2,1.068689
strong_O3_v4_bind,4,500000,8,40,150,3,1.157527
strong_O3_v4_bind,4,500000,8,40,150,4,1.165885
strong_O3_v4_bind,4,500000,8,40,150,5,1.095655
strong_O3_v4_bind,6,500000,8,40,150,1,0.891332
strong_O3_v4_bind,6,500000,8,40,150,2,0.877176
strong_O3_v4_bind,6,500000,8,40,150,3,0.909517
strong_O3_v4_bind,6,500000,8,40,150,4,0.912643
strong_O3_v4_bind,6,500000,8,40,150,5,0.921355
strong_O3_v4_bind,8,500000,8,40,150,1,0.808965
strong_O3_v4_bind,8,500000,8,40,150,2,0.816136
strong_O3_v4_bind,8,500000,8,40,150,3,0.796306
strong_O3_v4_bind,8,500000,8,40,150,4,0.771999
strong_O3_v4_bind,8,500000,8,40,150,5,0.811917
strong_O3_v4_bind,10,500000,8,40,150,1,0.670141
strong_O3_v4_bind,10,500000,8,40,150,2,0.645554
strong_O3_v4_bind,10,500000,8,40,150,3,0.656004
strong_O3_v4_bind,10,500000,8,40,150,4,0.656492
strong_O3_v4_bind,10,500000,8,40,150,5,0.654796
strong_O3_v4_bind,12,500000,8,40,150,1,0.553715
strong_O3_v4_bind,12,500000,8,40,150,2,0.551579
strong_O3_v4_bind,12,500000,8,40,150,3,0.553156
strong_O3_v4_bind,12,500000,8,40,150,4,0.551372
strong_O3_v4_bind,12,500000,8,40,150,5,0.561791
strong_O3_v4_bind,14,500000,8,40,150,1,0.462739
strong_O3_v4_bind,14,500000,8,40,150,2,0.481966
strong_O3_v4_bind,14,500000,8,40,150,3,0.478438
strong_O3_v4_bind,14,500000,8,40,150,4,0.508550
strong_O3_v4_bind,14,500000,8,40,150,5,0.450268
strong_O3_v4_bind,16,500000,8,40,150,1,0.583169
strong_O3_v4_bind,16,500000,8,40,150,2,0.455428
strong_O3_v4_bind,16,500000,8,40,150,3,0.559815
strong_O3_v4_bind,16,500000,8,40,150,4,0.482882
strong_O3_v4_bind,16,500000,8,40,150,5,0.550245
