experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,2000000,8,16,150,1,265.757
strong_omp,1,2000000,8,16,150,2,264.071
strong_omp,1,2000000,8,16,150,3,265.649
strong_omp,1,2000000,8,16,150,4,263.419
strong_omp,1,2000000,8,16,150,5,265.022
strong_omp,2,2000000,8,16,150,1,135.963
strong_omp,2,2000000,8,16,150,2,136.692
strong_omp,2,2000000,8,16,150,3,137.493
strong_omp,2,2000000,8,16,150,4,137.535
strong_omp,2,2000000,8,16,150,5,136.888
strong_omp,4,2000000,8,16,150,1,73.154
strong_omp,4,2000000,8,16,150,2,73.368
strong_omp,4,2000000,8,16,150,3,73.327
strong_omp,4,2000000,8,16,150,4,73.327
strong_omp,4,2000000,8,16,150,5,73.754
strong_omp,6,2000000,8,16,150,1,50.616
strong_omp,6,2000000,8,16,150,2,50.958
strong_omp,6,2000000,8,16,150,3,50.457
strong_omp,6,2000000,8,16,150,4,50.383
strong_omp,6,2000000,8,16,150,5,50.594
strong_omp,8,2000000,8,16,150,1,40.186
strong_omp,8,2000000,8,16,150,2,40.141
strong_omp,8,2000000,8,16,150,3,39.999
strong_omp,8,2000000,8,16,150,4,40.110
strong_omp,8,2000000,8,16,150,5,40.402
strong_omp,10,2000000,8,16,150,1,33.183
strong_omp,10,2000000,8,16,150,2,33.314
strong_omp,10,2000000,8,16,150,3,33.190
strong_omp,10,2000000,8,16,150,4,33.198
strong_omp,10,2000000,8,16,150,5,33.255
strong_omp,12,2000000,8,16,150,1,28.740
strong_omp,12,2000000,8,16,150,2,28.692
strong_omp,12,2000000,8,16,150,3,28.793
strong_omp,12,2000000,8,16,150,4,28.643
strong_omp,12,2000000,8,16,150,5,28.670
strong_omp,14,2000000,8,16,150,1,25.312
strong_omp,14,2000000,8,16,150,2,25.347
strong_omp,14,2000000,8,16,150,3,25.217
strong_omp,14,2000000,8,16,150,4,25.324
strong_omp,14,2000000,8,16,150,5,25.171
strong_omp,16,2000000,8,16,150,1,23.610
strong_omp,16,2000000,8,16,150,2,23.772
strong_omp,16,2000000,8,16,150,3,23.509
strong_omp,16,2000000,8,16,150,4,23.922
strong_omp,16,2000000,8,16,150,5,23.568
