N,K,D,iters,cuda_mean,cuda_std,best_cpu_mean,best_cpu_std,best_cpu_label,speedup,speedup_std
500000,8,40,150,0.2042156,0.004515913617420071,0.465618,0.020052739176980274,v2_o3/v_cuda,2.2800314961246837,0.11038192340659865
1000000,8,40,150,0.3793782,0.0013672835112002169,0.9652108,0.047004501217436594,v2_o3/v_cuda,2.5441915218112165,0.12423762311414145
2000000,8,40,150,0.7020338,0.012302219137212593,1.8071908,0.02992195340715578,v2_o3/v_cuda,2.5742219249272615,0.06206059845014878
4000000,8,40,150,1.4272552,0.029065750320609204,3.6224452,0.10647583736792121,v2_o3/v_cuda,2.538050097838144,0.09075771353375242
8000000,8,40,150,2.6714974,0.019014952703070277,6.7898060000000005,0.10805643192101037,v2_o3/v_cuda,2.54157312674158,0.04430899130661419
