experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,100000,8,40,150,1,11.981492
weak_omp,1,100000,8,40,150,2,11.944166
weak_omp,1,100000,8,40,150,3,11.940074
weak_omp,1,100000,8,40,150,4,11.943542
weak_omp,1,100000,8,40,150,5,11.895524
weak_omp,2,200000,8,40,150,1,12.663771
weak_omp,2,200000,8,40,150,2,12.414117
weak_omp,2,200000,8,40,150,3,13.010886
weak_omp,2,200000,8,40,150,4,12.457247
weak_omp,2,200000,8,40,150,5,12.673851
weak_omp,4,400000,8,40,150,1,13.338208
weak_omp,4,400000,8,40,150,2,13.375514
weak_omp,4,400000,8,40,150,3,13.472505
weak_omp,4,400000,8,40,150,4,13.399782
weak_omp,4,400000,8,40,150,5,13.496664
weak_omp,6,600000,8,40,150,1,14.345613
weak_omp,6,600000,8,40,150,2,14.459551
weak_omp,6,600000,8,40,150,3,14.430417
weak_omp,6,600000,8,40,150,4,14.435106
weak_omp,6,600000,8,40,150,5,14.337340
weak_omp,8,800000,8,40,150,1,15.037777
weak_omp,8,800000,8,40,150,2,15.054294
weak_omp,8,800000,8,40,150,3,15.025963
weak_omp,8,800000,8,40,150,4,14.934752
weak_omp,8,800000,8,40,150,5,14.992546
weak_omp,10,1000000,8,40,150,1,15.472202
weak_omp,10,1000000,8,40,150,2,15.486659
weak_omp,10,1000000,8,40,150,3,15.501682
weak_omp,10,1000000,8,40,150,4,15.486846
weak_omp,10,1000000,8,40,150,5,15.516720
weak_omp,12,1200000,8,40,150,1,15.650864
weak_omp,12,1200000,8,40,150,2,15.696775
weak_omp,12,1200000,8,40,150,3,15.753337
weak_omp,12,1200000,8,40,150,4,15.877677
weak_omp,12,1200000,8,40,150,5,15.727875
weak_omp,14,1400000,8,40,150,1,16.095218
weak_omp,14,1400000,8,40,150,2,16.050068
weak_omp,14,1400000,8,40,150,3,16.055925
weak_omp,14,1400000,8,40,150,4,16.069338
weak_omp,14,1400000,8,40,150,5,16.011995
weak_omp,16,1600000,8,40,150,1,17.314469
weak_omp,16,1600000,8,40,150,2,17.262347
weak_omp,16,1600000,8,40,150,3,17.266693
weak_omp,16,1600000,8,40,150,4,17.336738
weak_omp,16,1600000,8,40,150,5,17.293045
