experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,500000,8,40,150,1,56.633799
strong_omp,1,500000,8,40,150,2,56.415396
strong_omp,1,500000,8,40,150,3,56.654601
strong_omp,1,500000,8,40,150,4,56.702076
strong_omp,1,500000,8,40,150,5,56.880259
strong_omp,2,500000,8,40,150,1,29.395477
strong_omp,2,500000,8,40,150,2,29.474788
strong_omp,2,500000,8,40,150,3,29.504286
strong_omp,2,500000,8,40,150,4,29.385144
strong_omp,2,500000,8,40,150,5,29.596309
strong_omp,4,500000,8,40,150,1,15.631411
strong_omp,4,500000,8,40,150,2,16.026198
strong_omp,4,500000,8,40,150,3,15.652040
strong_omp,4,500000,8,40,150,4,15.720765
strong_omp,4,500000,8,40,150,5,15.864019
strong_omp,6,500000,8,40,150,1,11.336195
strong_omp,6,500000,8,40,150,2,10.986835
strong_omp,6,500000,8,40,150,3,11.198082
strong_omp,6,500000,8,40,150,4,11.052156
strong_omp,6,500000,8,40,150,5,11.082570
strong_omp,8,500000,8,40,150,1,8.669618
strong_omp,8,500000,8,40,150,2,8.959306
strong_omp,8,500000,8,40,150,3,8.552245
strong_omp,8,500000,8,40,150,4,8.600561
strong_omp,8,500000,8,40,150,5,9.296805
strong_omp,10,500000,8,40,150,1,7.131863
strong_omp,10,500000,8,40,150,2,7.147364
strong_omp,10,500000,8,40,150,3,7.336823
strong_omp,10,500000,8,40,150,4,7.411132
strong_omp,10,500000,8,40,150,5,7.296692
strong_omp,12,500000,8,40,150,1,6.236073
strong_omp,12,500000,8,40,150,2,6.136283
strong_omp,12,500000,8,40,150,3,6.135288
strong_omp,12,500000,8,40,150,4,6.000002
strong_omp,12,500000,8,40,150,5,6.185475
strong_omp,14,500000,8,40,150,1,5.304018
strong_omp,14,500000,8,40,150,2,5.314610
strong_omp,14,500000,8,40,150,3,5.338899
strong_omp,14,500000,8,40,150,4,5.060206
strong_omp,14,500000,8,40,150,5,5.317812
strong_omp,16,500000,8,40,150,1,5.034770
strong_omp,16,500000,8,40,150,2,5.067417
strong_omp,16,500000,8,40,150,3,5.024524
strong_omp,16,500000,8,40,150,4,4.945451
strong_omp,16,500000,8,40,150,5,4.989001
