experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,100000,8,16,150,1,5.059128
weak_omp,1,100000,8,16,150,2,5.008468
weak_omp,1,100000,8,16,150,3,5.029539
weak_omp,1,100000,8,16,150,4,5.005397
weak_omp,1,100000,8,16,150,5,5.012894
weak_omp,2,200000,8,16,150,1,5.254069
weak_omp,2,200000,8,16,150,2,5.093738
weak_omp,2,200000,8,16,150,3,5.193538
weak_omp,2,200000,8,16,150,4,5.189701
weak_omp,2,200000,8,16,150,5,5.116968
weak_omp,4,400000,8,16,150,1,5.558716
weak_omp,4,400000,8,16,150,2,5.582999
weak_omp,4,400000,8,16,150,3,5.608582
weak_omp,4,400000,8,16,150,4,5.589438
weak_omp,4,400000,8,16,150,5,5.610109
weak_omp,6,600000,8,16,150,1,6.180645
weak_omp,6,600000,8,16,150,2,6.190746
weak_omp,6,600000,8,16,150,3,6.222716
weak_omp,6,600000,8,16,150,4,6.245769
weak_omp,6,600000,8,16,150,5,6.255396
weak_omp,8,800000,8,16,150,1,6.738667
weak_omp,8,800000,8,16,150,2,6.744919
weak_omp,8,800000,8,16,150,3,6.771861
weak_omp,8,800000,8,16,150,4,6.752284
weak_omp,8,800000,8,16,150,5,6.758980
weak_omp,10,1000000,8,16,150,1,7.077044
weak_omp,10,1000000,8,16,150,2,7.054871
weak_omp,10,1000000,8,16,150,3,7.051179
weak_omp,10,1000000,8,16,150,4,7.091795
weak_omp,10,1000000,8,16,150,5,7.070394
weak_omp,12,1200000,8,16,150,1,7.120607
weak_omp,12,1200000,8,16,150,2,7.138102
weak_omp,12,1200000,8,16,150,3,7.133974
weak_omp,12,1200000,8,16,150,4,7.114784
weak_omp,12,1200000,8,16,150,5,7.124963
weak_omp,14,1400000,8,16,150,1,7.322122
weak_omp,14,1400000,8,16,150,2,7.339688
weak_omp,14,1400000,8,16,150,3,7.346719
weak_omp,14,1400000,8,16,150,4,7.336605
weak_omp,14,1400000,8,16,150,5,7.325621
weak_omp,16,1600000,8,16,150,1,8.018062
weak_omp,16,1600000,8,16,150,2,8.027142
weak_omp,16,1600000,8,16,150,3,8.030628
weak_omp,16,1600000,8,16,150,4,7.985369
weak_omp,16,1600000,8,16,150,5,8.614138
