experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,500000,8,16,150,1,24.574951
strong_omp,1,500000,8,16,150,2,24.560555
strong_omp,1,500000,8,16,150,3,24.666016
strong_omp,1,500000,8,16,150,4,24.590945
strong_omp,1,500000,8,16,150,5,24.605666
strong_omp,2,500000,8,16,150,1,13.017595
strong_omp,2,500000,8,16,150,2,13.041785
strong_omp,2,500000,8,16,150,3,13.207733
strong_omp,2,500000,8,16,150,4,12.965016
strong_omp,2,500000,8,16,150,5,13.171567
strong_omp,4,500000,8,16,150,1,7.264513
strong_omp,4,500000,8,16,150,2,7.448185
strong_omp,4,500000,8,16,150,3,7.352900
strong_omp,4,500000,8,16,150,4,7.371105
strong_omp,4,500000,8,16,150,5,7.154777
strong_omp,6,500000,8,16,150,1,5.317498
strong_omp,6,500000,8,16,150,2,5.259610
strong_omp,6,500000,8,16,150,3,5.230076
strong_omp,6,500000,8,16,150,4,5.160616
strong_omp,6,500000,8,16,150,5,5.256746
strong_omp,8,500000,8,16,150,1,4.362271
strong_omp,8,500000,8,16,150,2,4.335099
strong_omp,8,500000,8,16,150,3,4.355163
strong_omp,8,500000,8,16,150,4,4.347269
strong_omp,8,500000,8,16,150,5,4.363814
strong_omp,10,500000,8,16,150,1,3.606639
strong_omp,10,500000,8,16,150,2,3.595990
strong_omp,10,500000,8,16,150,3,3.599552
strong_omp,10,500000,8,16,150,4,3.595802
strong_omp,10,500000,8,16,150,5,3.589064
strong_omp,12,500000,8,16,150,1,3.067468
strong_omp,12,500000,8,16,150,2,3.039660
strong_omp,12,500000,8,16,150,3,3.036595
strong_omp,12,500000,8,16,150,4,3.045281
strong_omp,12,500000,8,16,150,5,3.045495
strong_omp,14,500000,8,16,150,1,2.822368
strong_omp,14,500000,8,16,150,2,2.655011
strong_omp,14,500000,8,16,150,3,2.662794
strong_omp,14,500000,8,16,150,4,2.654063
strong_omp,14,500000,8,16,150,5,2.649011
strong_omp,16,500000,8,16,150,1,2.634940
strong_omp,16,500000,8,16,150,2,2.686959
strong_omp,16,500000,8,16,150,3,2.641891
strong_omp,16,500000,8,16,150,4,2.612336
strong_omp,16,500000,8,16,150,5,2.753713
